feature,importance,model
text__000,10.363461232049675,Logistic Regression
text__salary,7.075305658951724,Logistic Regression
text__range,5.457441044600625,Logistic Regression
text__salary range,4.0179840484764915,Logistic Regression
text__usd,3.3938269059546546,Logistic Regression
text__compensation,3.3580558272107734,Logistic Regression
text__for this,3.198973424030005,Logistic Regression
text__00,3.0485557661184393,Logistic Regression
text__base,2.7598348641620514,Logistic Regression
text__range for,2.7025698950845416,Logistic Regression
text__base salary,2.6887611208598297,Logistic Regression
text__pay range,2.5734854371788596,Logistic Regression
text__trainer,2.188837893659237,Logistic Regression
text__hour,2.0416953839213132,Logistic Regression
text__000 usd,1.9826271629591223,Logistic Regression
text__ai safety,1.9485120753871363,Logistic Regression
text__compensation range,1.9085668690399502,Logistic Regression
text__factors,1.8471521760007212,Logistic Regression
text__pay,1.804484383079584,Logistic Regression
text__vision,1.7425804978538966,Logistic Regression
text__000 00,1.7188006256850887,Logistic Regression
text__global,1.7036145302821617,Logistic Regression
text__100,1.6787602712701397,Logistic Regression
text__line,1.6184738341306253,Logistic Regression
text__annually,1.542748375804497,Logistic Regression
text__200,1.4844262457574482,Logistic Regression
text__500,1.470578538620636,Logistic Regression
text__based on,1.4462721355374102,Logistic Regression
text__monthly,1.4409887315208416,Logistic Regression
text__bilingual,1.4212917368425209,Logistic Regression
text__over,1.420417049147337,Logistic Regression
text__emea,1.4143062593635927,Logistic Regression
text__month,1.4102771678061867,Logistic Regression
text__from the,1.4085331140198702,Logistic Regression
text__virtual,1.4004217297679487,Logistic Regression
text__per,1.3969010768066075,Logistic Regression
text__remote,1.3960324650068494,Logistic Regression
text__actual,1.3860624766764529,Logistic Regression
text__experience and,1.3829223666752957,Logistic Regression
text__80,1.3810898277150065,Logistic Regression
text__the world,1.36598103657093,Logistic Regression
text__education experience,1.365721180207495,Logistic Regression
text__geographic,1.3375896369490947,Logistic Regression
text__medical dental,1.3351792174984929,Logistic Regression
text__incentives,1.332737250330253,Logistic Regression
text__system,1.331486244407916,Logistic Regression
text__call,1.3294922896972026,Logistic Regression
text__year,1.3290002756719135,Logistic Regression
text__proven experience,1.3239962295634085,Logistic Regression
text__earn,1.323411563946803,Logistic Regression
text__benefits,1.3048020769050293,Logistic Regression
text__location,1.2949980695396446,Logistic Regression
text__bright,1.2853098787279387,Logistic Regression
text__inside,1.284482928909092,Logistic Regression
text__amazon,1.2816852276982844,Logistic Regression
text__final,1.2677390715572743,Logistic Regression
text__equity,1.264456345462877,Logistic Regression
text__bonus,1.2586396417720738,Logistic Regression
text__determined,1.2505267747918922,Logistic Regression
text__vision technologies,1.239190027015999,Logistic Regression
text__401k,1.2183010969941401,Logistic Regression
text__referral,1.2126214531337327,Logistic Regression
text__bright vision,1.2116976117527345,Logistic Regression
text__markets,1.2041146193311176,Logistic Regression
text__depending,1.192668634779133,Logistic Regression
text__why,1.1886081141043436,Logistic Regression
text__assistant,1.175458831817121,Logistic Regression
text__world,1.1740445858758597,Logistic Regression
text__onboarding,1.1738092452689315,Logistic Regression
text__depending on,1.1660461981742098,Logistic Regression
text__specialist senior,1.1648974502481646,Logistic Regression
text__international,1.16218356866378,Logistic Regression
text__transformation,1.1613157596853214,Logistic Regression
text__updates,1.159556064780545,Logistic Regression
text__specialists,1.1587696325425856,Logistic Regression
text__prompt,1.1584236264224865,Logistic Regression
text__this position,1.156619034022164,Logistic Regression
text__this opportunity,1.1525353233657993,Logistic Regression
text__product,1.1432986799349338,Logistic Regression
text__out to,1.1334994595002914,Logistic Regression
text__dental,1.1331248765482977,Logistic Regression
text__united states,1.1307266150413144,Logistic Regression
text__interpreter,1.117445692749478,Logistic Regression
text__estimate,1.1090943474881467,Logistic Regression
text__network,1.0994314931493303,Logistic Regression
text__only,1.0798815989199546,Logistic Regression
text__quarterly,1.078035328341661,Logistic Regression
text__knowledge skills,1.0710691308114169,Logistic Regression
text__cash,1.066471810835451,Logistic Regression
text__and help,1.0654836312708809,Logistic Regression
text__ranges,1.0625083527896795,Logistic Regression
text__once,1.0550373975353387,Logistic Regression
text__approaches,1.0512544352644966,Logistic Regression
text__job related,1.050626890478339,Logistic Regression
text__position,1.0506219509934922,Logistic Regression
text__provide,1.0468740232991058,Logistic Regression
text__skills experience,1.045962704018238,Logistic Regression
text__provides,1.0418275279955072,Logistic Regression
text__excellence,1.0402837849899147,Logistic Regression
text__of factors,1.0386608703025473,Logistic Regression
text__400,1.0377370337469551,Logistic Regression
text__geographic location,1.0344335147244899,Logistic Regression
text__environment,1.0327229162848006,Logistic Regression
text__from home,1.0301570257247887,Logistic Regression
text__and an,1.0299180687214315,Logistic Regression
text__technical,1.0288243019423238,Logistic Regression
text__strategist,1.0269598727416869,Logistic Regression
text__please,1.024724099279121,Logistic Regression
text__its,1.0169879139306524,Logistic Regression
text__during,1.016909614746417,Logistic Regression
text__but,1.0137238739637697,Logistic Regression
text__united,1.0128241170408685,Logistic Regression
text__via,1.0069641296497733,Logistic Regression
text__connect,1.0058086492709624,Logistic Regression
text__basis,1.002592051459837,Logistic Regression
text__significant,1.0013629271955933,Logistic Regression
text__technologies is,1.0012826679423525,Logistic Regression
text__software engineering,1.0010036782091027,Logistic Regression
text__according,0.9954350491157782,Logistic Regression
text__according to,0.9954350491157782,Logistic Regression
text__should be,0.9949395616426321,Logistic Regression
text__javascript,0.9920476206633561,Logistic Regression
text__process,0.9887939543186447,Logistic Regression
text__banking,0.9874151155479467,Logistic Regression
text__dental vision,0.9822769714162641,Logistic Regression
text__job,0.9784613276598205,Logistic Regression
text__para,0.9779205796173289,Logistic Regression
text__english,0.9767253037338163,Logistic Regression
text__fully remote,0.9757212349125709,Logistic Regression
text__manager senior,0.9702421915240714,Logistic Regression
text__goals,0.9701646418267661,Logistic Regression
text__around,0.9682757285093149,Logistic Regression
text__during the,0.9664462163710918,Logistic Regression
text__expert,0.9651311486182133,Logistic Regression
text__interpretation,0.9607353962366075,Logistic Regression
text__music,0.9581524546149064,Logistic Regression
text__bonuses,0.9575281915634505,Logistic Regression
text__sales director,0.9548108547961464,Logistic Regression
text__hear,0.9527886827639348,Logistic Regression
text__the base,0.9516827932609956,Logistic Regression
text__technical support,0.9506219041324027,Logistic Regression
text__and professional,0.9486140116858333,Logistic Regression
text__the united,0.9482080484995024,Logistic Regression
text__sales,0.9452924208417849,Logistic Regression
text__california,0.9380848239015175,Logistic Regression
text__ip,0.9369248422176375,Logistic Regression
text__per year,0.9353248799747481,Logistic Regression
text__800,0.9338168634108593,Logistic Regression
text__officer,0.9328109944040034,Logistic Regression
text__that is,0.9325595101008197,Logistic Regression
text__directly,0.9316471140405995,Logistic Regression
text__the salary,0.9301544946187574,Logistic Regression
text__account executive,0.926357211587236,Logistic Regression
text__create,0.9246889450826764,Logistic Regression
text__competitive salary,0.9230856877668482,Logistic Regression
text__marketplace,0.9222800920961122,Logistic Regression
text__and it,0.9172156886307335,Logistic Regression
text__bv,0.9146560650121961,Logistic Regression
text__freelance,0.9133710102316095,Logistic Regression
text__into,0.9085426002126232,Logistic Regression
text__arrangements,0.9084785760086861,Logistic Regression
text__should,0.9061598139089763,Logistic Regression
text__fast growing,0.9054286181982127,Logistic Regression
text__location remote,0.9052786643055432,Logistic Regression
text__challenges and,0.9050088061959216,Logistic Regression
text__language,0.8938600474918087,Logistic Regression
text__bv teck,0.8934523506144876,Logistic Regression
text__teck,0.8934523506144876,Logistic Regression
text__excellent,0.8922230756497006,Logistic Regression
text__may,0.8914082762212708,Logistic Regression
text__you ll,0.8898197468631688,Logistic Regression
text__20,0.8889351408160281,Logistic Regression
text__disease,0.8853897766791554,Logistic Regression
text__board,0.8827568843455103,Logistic Regression
text__and the,0.881851860110217,Logistic Regression
text__approach to,0.8816817607824764,Logistic Regression
text__globally,0.8813819710551033,Logistic Regression
text__before,0.8808601095260077,Logistic Regression
text__of our,0.8803886214286631,Logistic Regression
text__they,0.8802212906256752,Logistic Regression
text__advantage,0.8776197484980023,Logistic Regression
text__accessible,0.8757852255046373,Logistic Regression
text__very,0.8741260418594821,Logistic Regression
text__reimbursement,0.873916413472832,Logistic Regression
text__identity and,0.8736654154740378,Logistic Regression
text__hand,0.8725898437423242,Logistic Regression
text__underwriting,0.8694228600940878,Logistic Regression
text__starting,0.866876624738481,Logistic Regression
text__case,0.8649398042712316,Logistic Regression
text__voice,0.862965616363793,Logistic Regression
text__sales development,0.8619367911080276,Logistic Regression
text__401,0.859163166343361,Logistic Regression
text__your resume,0.8569329578206882,Logistic Regression
text__us at,0.8565723214265564,Logistic Regression
text__consistently,0.8564283536178667,Logistic Regression
text__qualification,0.8550906850472819,Logistic Regression
text__our clients,0.8531331280700735,Logistic Regression
text__1b,0.8522546959940115,Logistic Regression
text__rate,0.8501180016722351,Logistic Regression
text__sciences,0.8482057164655243,Logistic Regression
text__ground,0.8458949387116909,Logistic Regression
text__ability,0.844224221815725,Logistic Regression
text__life insurance,0.8428932486790585,Logistic Regression
text__others,0.8413311389769462,Logistic Regression
text__environment that,0.8394518697019677,Logistic Regression
text__managing,0.8375922542260724,Logistic Regression
text__your skills,0.8375563041986431,Logistic Regression
text__paid,0.8350283231989176,Logistic Regression
text__help,0.8342146940790832,Logistic Regression
text__employers,0.8320129527021649,Logistic Regression
text__permanent,0.8290038007340265,Logistic Regression
text__with our,0.8271166582584643,Logistic Regression
text__tax,0.8251876558121427,Logistic Regression
text__person,0.8246313639755646,Logistic Regression
text__life sciences,0.8244601298710694,Logistic Regression
text__you will,0.8221965360009765,Logistic Regression
text__products,0.8210424695679739,Logistic Regression
text__professional development,0.8183348059204405,Logistic Regression
text__identify,0.8182354460709867,Logistic Regression
text__previous,0.8179351952904572,Logistic Regression
text__da,0.8170010592758655,Logistic Regression
text__position is,0.814979559287644,Logistic Regression
text__for you,0.8144181641943739,Logistic Regression
text__what you,0.8128479520953583,Logistic Regression
text__trading,0.8125293228854468,Logistic Regression
text__sales executive,0.8120879780233217,Logistic Regression
text__things,0.81093326922745,Logistic Regression
text__posting,0.8102006356865066,Logistic Regression
text__compliance with,0.8100492478531603,Logistic Regression
text__shift,0.8100186492121004,Logistic Regression
text__and provide,0.8090455497475658,Logistic Regression
text__operating,0.8076852007723035,Logistic Regression
text__focused,0.8071968010278744,Logistic Regression
text__consistent,0.8066148411002102,Logistic Regression
text__peer,0.8063157847861206,Logistic Regression
text__connects,0.8055672687255816,Logistic Regression
